question,answer
"압축 파우치를 살 때 같이 8종 파우치도 주문하고 싶은데 가격이 차이가 나요

8종이 7870원 인데 압축에서 추가하몀 8700원이에요ㅠ 저 빨리 주문 하고 싶은데 빠른 답변 부탁드립니다ㅠㅠ","안녕하세요 니뜰리히입니다.
각 상품은 각자 상품페이지에서 구매가 가장 저렴한가격으로 판매진행되고있습니다.
만족스러운답변드리지못하여 죄송합니다."
"한개는 불량인지
아무리 펌핑 하고 입으로 불어도 바람이 안차요
불량 한건은 환불 해주세요","안녕하세요 니뜰리히입니다.
해당내용 톡톡으로 사진첨부부탁드립니다. 확인후 빠른처리도와드리겠습니다."
실크목베게 세탁기돌려두되나여???,"안녕하세요 니뜰리히입니다.
해당상품 세탁기사용을 권장드리지않는점 양해부탁드립니다.
만족스러운답변드리지못하여 죄송합니다."
"당일 출고 가능 한가요?? 
토요일 오전까지 받아야됩니다.",어제 주문해주셔서 금일 출고되실 예정이십니다!
"단체구매하려고 합니다.40개요
벨벳으로 500그램 짜리 아이보리.커피.진그레이 구매가능할까요?빠른답변 부탁드립니다
제전화 010 2521 3455","안녕하세요. 니뜰리히입니다.
통화드린것과같이 내일자로 빠른출고도와드리겠습니다. 감사합니다."
베이지 입고 언제일까요?,"안녕하세요 니뜰리히입니다.
베이지색상 현재 높은형은 구매가능하시며, 낮은형은 아직 재입고예정이정해지지않아 답변드리기어려운점 양해부탁드립니다."
"며칠전 물건받고 구매확정 했고 지금 여행준비하면서 물건 확인했는데
모자 세트인데 모자가 빠졌어요 ㅜㅜ
어쩌죠??",안녕하세요 고객님 니뜰리히입니다. 저희가 H형 목베개 모자 제품은 별도로 판매하지 않고 있습니다 ㅜ 목베개 단일 제품 이십니다!
브라운대형은입고예정없나요,브라운베이지색상도 다음주  재입고예정에있습니다.!
"안녕하세요. 중형 라이트그레이는 더 이상 입고되지 않는건가요???
아니면 다시 입고되나요?","안녕하세요 니뜰리히입니다.
다음주 재입고예정에있습니다."
"안녕하세요 구매하려고 하는데 에브리보틀의
제품과 동일 상품인가요?? 아니면
거의 똑같은 기능인건가요??","안녕하세요 니뜰리히입니다.
해당상품 동일한상품은 아니며, 재질 등 약간의차이가있습니다.
감사합니다."
h형목베게 후드안대는어디서시키나요?,안녕하세요 고객님 니뜰리히입니다. 후드의 경우 현재 저희가 별도 판매를 하고 있지 않습니다 ㅜ
"16개 구매 했는데. 쿠션감이 틀려요.메모리폼 소재가 틀린것 같음..4 개만 소프트 하고 나머지는 하드함..
안에 메모리 폼을 확인 하니 소프트한건 쫌쫌한반면 다른것들은 밴질밴질하고 갈라져 있어요..연락부탁드려요
010-2585-1957",안녕하세요 고객님 니뜰리히입니다. 유선상으로 연락드린대로 처리 도와드리도록 하겠습니다. 감사합니다.
"안녕하세요, 사진에 있는 브라운과 오렌지 사이 컬러는 제작하지 않으시나요? 혹시 따로 발주를 넣을 수 있을까요?","안녕하세요 고객님
문의주신 상품 톡톡으로 문의주시면 빠른 답변드리겠습니다.
감사합니다."
반품비용이 얼마일까요?,"안녕하세요 니뜰리히입니다.
반품비용 20,000원입니다."
"쇼파 높이가 어떻게 되나요 세로 길이 말구
엉덩이 두는 부분 쿠션 높이요 강아지 쿠션용으로 쓰고싶어서요 반품가능한지도 궁금해요ㅠ","안녕하세요 니뜰리히입니다.
바닥에서 쿠션까지의높이는 8~13 cm 입니다. 또한 상품불량의경우 판매자귀책으로 반품가능하며 단순변심으로 택배비부담하여 반품처리도 가능합니다."
담요 무게가 어느정도 될까요? 두께가 가늠이 안 되어서요 대형 무게 알려주실 수 있으실까요? 감사합니다,안녕하세요 고객님 니뜰리히입니다. 대형 기준 550~580g 정도 나오십니다! 감사합니다.
빠른배송 부탁드려요.이번주 여행일정이 있어서요~검수도 잘 부탁드릴게요~^^수고하세요,안녕하세요 니뜰리히입니다. 금일 출고도와드리겠습니다. 감사합니다.
상품 설명에 나와있는 모델이 착용한 사진은 사이즈가 중형인가요 대형인가요?,"안녕하세요 니뜰리히입니다.
모델이 착용한상품은 중형상품입니다.감사합니다."
여행일정 때문에 빠른배송 부탁드립니다,안녕하세요 고객님 니뜰리히입니다. 금일 빠르게 발송하도록 하겠습니다! 감사합니다.
바둑알 높은형과 낮은형은 두께 차이인가요?,"안녕하세요 고객님 니뜰리히입니다. 두옵션의 최고 높이는 같습니다. 다만, 높은형의 경우 가장자리까지 높은 형태를 유지하였고, 낮은형의 경우 중앙부분 부터 라운딩처리가 들어가 주변 높이가 더 낮게 제작되었습니다."
"해외여행용으로 H형구매 했는데
공항리무진안에서 해보니 불량이네요ㅜㅜ
환불 부탁합니다. 몇번을 해봐도 안돼고
사진상으로 봐도 까만숨구멍같은게 있는데
 이건 아무것도 없어요.",안녕하세요 고객님 니뜰리히입니다. 먼저 불편을 드려 정말 죄송하다는 말씀드립니다. 말씀해주신 부분 톡톡으로 사진 한번만 찍어서 전달해주실 수 있으실까요?
"28인치 캐리어에 넣을건데 소 중 대 몇개들어갈 수 있나요
혹시 각각 구매할 갯수 추천도 가능할까요","안녕하세요 고객님 니뜰리히입니다. 28인치 캐리어도 브랜드마다 크기가 다를 수 있어 추천사이즈만 전달드립니다. 정확한 배치는 상단의 제품크기를 보시는 것을 추천드립니다. 

28인치 캐리어 추천 개수 : 소형 2개, 중형 2개, 대형1개

감사합니다."
높은형 카키는 재입고 언제쯤 될까요?,안녕하세요 고객님 니뜰리히입니다. 높은형 카키 제품은 아직 제작중에 있어서 재입고 일정이 나오지 않았습니다 ㅜ
"안녕하세요
대량구매 문의 드립니다
저희는 가구 제작하는 회사인데
귀사의 방석 제품을 활용하고 싶어 연락드렸습니다
대량구매 단가 기준이 있는지 견적 요청 드립니다
감사합니다",안녕하세요 고객님 니뜰리히입니다. 저희가 대량구매 단가가 정해져있지는 않아서 order@piaar.co.kr로 발주서 보내주시면 수량에 따라 견적서 전달해드리도록 하겠습니다. 감사합니다.
캐리어 손잡이가 몇 센치 이하인경우에 끼울수잇나요?? 사진에 잇는 캐리어는 몇인치일때 인가요?,"안녕하세요. 니뜰리히입니다.
해당상품 손잡이부분 18cm 까지 착용가능합니다.
사진의 캐리어는 20인치캐리어입니다.
감사합니다."
오전에 주문했습니다. 꼭 당일출고 부탁드립니다. 내일 받어야해서요~~,"안녕하세요 니뜰리히입니다.
해당상품 금일출고도와드리겠습니다.
감사합니다."
"하나는 오염이 묻어있고 하나는 빵빵하게 불어서 밤새 뒀더니 바람이 빠졌습니다
전화연결이 안되어서 교환 신청 전에 문의 남깁니다~","안녕하세요 고객님
배송받으신 상품 사진찍어 톡톡으로 보내주시면 확인 후 빠르게 답변드리겠습니다."
"미끄럼방지는 뭐에요
?
주문하기는 했어요
그리고
사이즈가 작은데
맞교환 가능하나요?","안녕하세요 고객님
문의주신 상품 미끄럼방지 패드는 방석 바닥에 깔아 방석이 움직이지않도록 방지해주는 패드입니다!
사이즈 변경은 교환요청 신청해주시면 감사하겠습니다."
목베개 사면 파우치가 포함되어있나요? 아님 따로 주문을 해야하나요?,"안녕하세요 니뜰리히입니다.
H형제품과 고급형제품은 파우치가포함되어있으며, 나머지상품은 추가상품에서 파우치 별도구매해주셔야합니다.
감사합니다."
커버 탈부착되나요?,"안녕하세요 니뜰리히입니다.
문의주신상품 따로 커버 탈부착 가능합니다.
감사합니다."
"안녕하세요 , 혹시 겉 커버만 따로 구매가능한가요??","안녕하세요 니뜰리히입니다.
해당상품 따로 커버만판매하고있지않은점 양해부탁드립니다.
만족스러운답변 드리지못하여 죄송합니다."
커버 세탁 가능 한가요?,"안녕하세요 니뜰리히입니다.
커버 따로 분리세탁가능합니다.
감사합니다."
주문했어여. 하자없는 상품으로 보내주세여,"안녕하세요 고객님
주문해주신 상품 금일 출고 후 송장번호 전달드리며, 배송일은 1~2일 소요됩니다.
감사합니다."
"안녕하세요~급하게 사용해야해서
죄송하지만 빠른배송 부탁드립니다~
수고하세요~","안녕하세요 고객님
주문해주신 상품 금일 출고 후 송장번호 전달드리며, 배송일은 1~2일 소요됩니다.
감사합니다."
U형벨뱃목배개 사면 구성품에 파우치 포함인가요? 아니면 따로 사야하나오..?,안녕하세요 고객님 니뜰리히입니다. u형 경우에는 파우치가 포함되어 있지 않습니다. H형과 고급형에는 파우치가 포함되어 있습니다. 감사합니다.
오늘 주문하면 월욜 배송된다는데 꼭 월욜 배송 되는거 맞죵?,"안녕하세요 고객님
문의주신 상품 당일 출고는 14시 이전으로만 가능하며 14시 이후 주문건은 월요일에 출고됩니다!
감사합니다."
"배송이 지연 되어서 반품을 햤는대요..
다른 택배상자도 같이 없어졌어요..ㅠㅠ
혹시 목베개 반품이 된건가요?

택배 기사님이 택배 박스를 두개 가져가신것 같아요","안녕하세요 고객님
문의주신 상품 저희쪽으로 회수되고있다는 연락을 받았으며 회수는되는대로 다시 고객님 배송지로 배송 도와드리기로 기사님과 얘기한 상황입니다.
감사합니다."
U형 2개 주문했는데 U형 하나랑 일반형 하나 왔습니다. 당장 내일 해외들고 나갈건데 검수도 안하고 배송하시나요? 연락바랍니다,"안녕하세요 고객님
문의주신 상품 유선상으로 말씀드린것처럼 차액금액 페이백 처리 도와드렸습니다ㅜ
다시 한번 불편을끼쳐드려 정말 죄송합니다."
상품을 받았는데 내가 원하는 상품이아니라 교화하고싶습니다,안녕하세여 고객님 니뜰리히입니다. 교환신청 넣어주시면 안내톡 보내드리도록 하겠습니다!
바람은 어떻게넣나요?,"안녕하세요 고객님
문의주신 상품 펌프형식으로 눌러 바람을 넣는 상품이며, 다른 목베개는 상세페이지 참고해주시면 감사하겠습니다!
감사합니다."
기사님 방문하셔서 설치해주는지 택배로만 물건 받는지 궁금합니다,안녕하세요 고객님 니뜰리히입니다. 해당 제품의 경우 택배로 받아 직접 조립을 하시는 제품입니다. 조립이 많이 어렵지 않아서 쉽게 조립하실 수 있으십니다!
급한데 언제 배송 되나용?! 이번주까지 못받으면 취서 해야할거 같아요 .//// ㅠㅠㅠㅠㅠㅠ,"안녕하세요 고객님
주문해주신 상품 금일 출고 후 송장번호 전달드릴예정입니다!
감사합니다."
베이지 색상 당일 발송 되나요??,안녕하세요 고객님 니뜰리히입니다. 베이지 색상 내일 입고예정이라 내일 발송될 예정입니다. 감사합니다.
안녕하세요 지금 전색상 입고되어 있나요?,"안녕하세요 고객님
문의주신 상품 현재 전 색상 당일 출고 가능합니다!
감사합니다."
높은형 카키 언제 입고되나요ㅜ,"안녕하세요 고객님
문의주신 높은형 카키 색상은 현재 판매 준비중으로 11월 중순에 재입고될예정입니다ㅜ
좋은답변드리지 못해 죄송합니다."
안녕하세요. 제가 미끄럼방지패드 6개 주문했는데 4개만 왔습니다. 확인부탁드립니다.,안녕하세요 고객님 니뜰리히입니다. 번거롭게 해드려 죄송합니다. 창고측에 확인 후에 재발송 도와드릴 수 있도록 하겠습니다.
안녕하세요ㅡ어제 오전에 주문했는데 배송준비중이라 떠서요.낼 오전 출국이라 못받을거같은데 취소부탁드립니다,"안녕하세요 고객님
정말 죄송합니다.
주문해주신 상품 출고과정중 상품이 누락되어 배송이되지않은것으로 확인됩니다ㅜ
상품 취소처리 도와드리겠습니다.
불편을끼쳐드려 정말 죄송합니다."
"2개 주문해서 상품 받았는데
왜 모자는 없는거죠?","안녕하세요 고객님
문의주신 상품 상세페이지에 기재되있듯이 모자는 별도 구성품입니다ㅜ
참고해주시면 감사하겠습니다."
급하게 사용해야해서 빠른 배송 부탁합니다 정상제품으로 검수잘부탁드려요,"안녕하세요 고객님
주문해주신 상품 금일 출고 후 송장번호 전달드릴예정입니다.
감사합니다."
"상품 불량이어서
새로 다시 보내주셨는데,
기존 상품 반품 접수 해주신다 했는데 택배 수거 연락이 없네요.
확인 부탁드려요~","안녕하세요 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
금일 재신청도와드렸습니다.
내일중으로 기사님께서 방문예정이며 포장된상태로 문앞에놔주시면됩니다."
안녕하세요~급하게 주문하게되었는데 오늘 꼭 좀 출고 부탁드려요ㅜㅜ낼은 받아야해서요ㅜㅜ 흑 감사합니당,"안녕하세요 고객님 니뜰리히입니다.
금일 출고도와드리겠습니다."
"7개주문했는데 한개가 불량이에요.
10월25일 써야하는데 교환 빨리 해주세요.","안녕하세요 고객님 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
유선상 안내드린것과같이 출고 도와드리겠습니다."
"방금주문했어요
목요일 출발이예요
빠른배송 꼭.부탁드립니다ㅜㅜ","안녕하세요 고객님 니뜰리히입니다.
금일 출고도와드리겠습니다."
커버는 세탁기사용후 건조기도 사용 가능한가요?,"안녕하세요 고객님 니뜰리히입니다.
건조기사용에 문제가없긴하나 자연건조 권장드립니다."
방금 6개 주문했습니다! 해외여행때 온 가족이 잘 쓸 수 있도록 좋은 상품으로 부탁드립니다ㅎㅎ 감사합니다,"안녕하세요 고객님 니뜰리히입니다.
상품 검수후 빠른출고도와드리겠습니다."
아직도 발송준비라뇨 환불해주세요,"안녕하세요 고객님 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
반품처리 도와드렸습니다.
다시한번 죄송합니다."
제가 소파25cm짜리 구입했습니다. 다리를 30cm짜리로 교환하거나 혹은 30cm다리를 구매하고싶은데 어떻게 구입가능한가요 이미 소파 색상 다리 한번 교환해서 왕복택배비5만원을 썼어요ㅜ 제발 방법찾아주시길 간곡히 부탁드립니다.,"안녕하세요 고객님 니뜰리히입니다.
현재 구매내역이 보이지않아 톡톡이나 고객문의로 구매수취인명 말씀해주시면 확인후 안내드리도록하겠습니다."
일주일이 넘게 지났는데도 눌린곳이 복구가 안됩니다,"안녕하세요 고객님 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
말씀해주신 부분 톡톡으로 사진첨부부탁드리겠습니다.
확인후 빠른처리도와드리겠습니다."
빠른배송 부탁드립니다,"안녕하세요 니뜰리히입니다.
해당상품 금일 출고도와드렸습니다.
감사합니다."
원형이랑 바둑알이랑 뭔차이래유,"안녕하세요 고객님
문의주신 상품은 기존 방석에서 디자인과 미끄럼방지 등이 업그레이드 된 제품입니다. 
자세한 설명은 하단 상세페이지에서 확인하실 수 있으십니다. 
https://smartstore.naver.com/maimaimy/products/9245653839
감사합니다."
U형에어목베개 2개 구입했는데 하나가 바람빠지는구멍이 없습니다. 교환 문의드려요.,"안녕하세요 고객님 니뜰리히입니다.
먼저 만족스러운 제품 배송도와드리지못하여 죄송합니다.
교환신청주시면 확인후 빠른처리도와드리겠습니다."
수요일 오후에 주문했는데 아직 상품 준비중이네요?  오후 2시이전에 시키면 당일 발송 아닌가요?? 해외갈 때 필요란거라 이번주 금요일까지는 받아야 하는데요.. 혹시 언제쯤 올까요? 안오면 다른제품 얼른 주문해야 해서요.,"안녕하세요. 니뜰리히입니다.
어제자로 주문주셔서 금일 출고되었습니다. 곧 송장등록될예정입니다.
감사합니다."
상품준비중인데 물건 하나 더 추가 주문 가능할까요?,"안녕하세요 니뜰리히입니다.
금일 상품 출고되어 17시경 송장등록될예정입니다.
합포장도와드리기어려운점 양해부탁드리겠습니다."
해외 배송인가요? 10월10일에 주문넣었습니다,안녕하세요 고객님 니뜰리히입니다. 현재 처리점소인 대전서브TML과 상대점소인 전주완산집배센터 두 곳다 전화연결이 되지 않아 처리가 지연되고 있습니다. 지속적으로 전화해보면서 처리현황 안내드릴 수 있도록 하겠습니다.
"판매자님!
오늘출발 내걸고 판매하시면서 15일에 주문한건 왜 아직도 발송을안해주시나요?",안녕하세요 고객님 니뜰리히입니다. 먼저 죄송하다는 말씀드립니다 ㅜ 지난번 대량주문건으로 옷걸이가 전부 판매되어서 현재 예약판매 진행중에 있습니다. 현재 고객님 주문건이 송장이 기입되어 발송된 것으로 착각하여 안내가 누락된 것 같습니다 한번 더 죄송하다는 말씀드립니다. 톡톡으로 답변주시면 빠르게 처리 도와드릴 수 있도록 하겠습니다
"나뜰리에 목벼개 
상품 을 받았는데 잘못주문이들어가 다른게 와서 바꾸고 싶습니다","안녕하세요 고객님 니뜰리히입니다.
톡톡으로 말씀주시면 빠른처리도와드리도록하겠습니다.
감사합니다."
"교환 신청했습니다.
주말에 써야해서 빠른 교환 부탁드립니다!!!!!","안녕하세요 고객님
문의주신 상품 문앞에 놓아주시면 택배사에서 자동 회수해갈예정이며, 회수되는대로 최대한 빠르게 교환 상품 출고 도와드리겠습니다.
감사합니다."
이제 여름용핀매 안하시나요? ㅠㅠ,안녕하세요 고객님 니뜰리히입니다. 여름용이 고급형으로 모델명이 변경되었습니다. 이름이 여름용 이여서 그런지 판매량이 너무 줄어서 변경하게 되었습니다 ㅜ 감사합니다.
"안녕하세요
U형 목베개 블랙 한개, 네이비 한 개 총 2개 구매했습니다
신속한 출고 부탁드립니다.
감사합니다!",안녕하세요 고객님 니뜰리히입니다. 내일 빠르게 출고 도와드릴 수 있도록 하겠습니다. 감사합니다!!
발송 안하나요?,"안녕하세요 니뜰리히입니다.
유선상 안내드린것과같이 금일출고도와드리겠습니다.
불편을드려 죄송합니다."
"수고하십니다~
어제 h형 목베게 다른색상이 없어서 네이비2개 주문하였습니다.
오늘 보니 다른 색상이 보이는데, 네이비, 그레이로 변경부탁드려도 될까여?
상품준비중인데 부탁드려요",안녕하세요 고객님 니뜰리히입니다. 넵 변경 가능하십니다! 변경하여 출고 도와드릴 수 있도록 하겠습니다 ㅎ
배송오면 커버는 한번 빨아 쓰는게 좋나요? 아니면 바로 써도 괜찮나요?,안녕하세요 고객님 니뜰리히입니다. 저희가 제조 후 바로 보내드리기 때문에 한번 세탁하여 사용하시는 걸 권장드립니다!:)
"높은형 브라운이요!
딥브라운 말고 그냥 브라운이요
날짜 알려주세요~",안녕하세요 고객님 니뜰리히입니다. 현재 브라운 제품은 좀 더 색감은 변경하여 베이지로 출시될 예정입니다. 예정 재입고 일정은 25~27일입니다.
"정확한 일정은 모르는걸까요?
마냥 기다리며 계속 확인해야되는거조..","안녕하세요 니뜰리히입니다.
혹시 어떤상품문의주시는건지 말씀주시면 날짜안내드리도록하겠습니다."
"원형 방석 딥그레이 100, 그레이 50개 

35*35입니다.","안녕하세요 니뜰리히입니다.
35cm 상품은 문의주신수량 바로출고가능한색상이 딥브라운,딥그린,민트,화이트색상만 출고가가능한것으로확인됩니다.
만족스러운답변드리지못하여 죄송합니다."
오전일찍 다른제품과 합배송했는데 블랙색상 품절안내문자를 지금봤어요? 수욜출국이라  급한데 베이지로 당일출고 같이안되나요?,"안녕하세요니뜰리히입니다.
베이지로변경해서출고도와드리겠습니다."
"재고 문의 드립니다.


딥그레이 100개, 그레이 50개 재고 있나요??

바로 구매 가능한가요?","안녕하세요 니뜰리히입니다.
혹시 35cm일까요 40cm일까요?"
15분 지나고 주문했는데 빠른 배송 부탁드립니다. 수요일까지 와야 출국때 쓸수있습니다. ㅜㅜ,안녕하세요 고객님 니뜰리히입니다. 금일 출고 도와드릴 수 있도록 하겠습니다!:)
"안녕하세요~ 베이지색은 언제 입고될까요? 또한 낮은형은 여성분들에게 좋고, 높은형은 남성분들에게 좋다고 써 있는데 무슨 차이인지도 궁금합니다!",안녕하세요 고객님 니뜰리히입니다. 베이지색의 경우 2주정도 소요될 것으로 예상됩니다! 또한 낮은형의 경우 방석 둘레의 높이가 낮아서 남성분들이 앉았을때 지지력이 아쉽다라는 피드백을 많이 받아서 구분하게 되었습니다!
네이비 블랙 언제 재입고되나요? 10월말 여행일정이 있어서요ㅜㅜ,"안녕하세요 니뜰리히입니다.
차주중 재입고예정에있습니다.
감사합니다."
"반품처리가 안되고 있습니다
빠른 확인 부탁드립니다","안녕하세요 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
빠른반품처리될수있도록하겠습니다.
감사합니다."
급하게 다른상품과 같이주문했는데 수요일출국이라 빨리좀 보내주세요 오늘 꼭 출고해주세요~,안녕하세요 고객님 니뜰리히입니다. 금일 빠르게 발송해드릴 수 있도록 하겠습니다. 감사합니다.
모자는 언제 입고 되나요?,안녕하세요 고객님 니뜰리히입니다. 현재 모자 제품은 판매 준비중에 있습니다. 감사합니다.
상세페이지에 있는 브라운 색상은 이제 아예 안나오는 걸까요?,안녕하세요 고객님 니뜰리히입니다. 현재 재입고중에 있어 2주정도 소요될 것으로 예상됩니다.
높은형 베이지 재입고 언제될까요?,안녕하세요 고객님 니뜰리히입니다. 현재 재입고중에 있어 2주정도 소요될 것으로 예상됩니다.
9세 5세 아이들도 사용가능할까요?PU는 부드러운 원단이 아닌건가요?,"안녕하세요 고객님
문의주신 상품 아이들은 목둘레가 얇아 사용하기 어려우실수있습니다ㅜ
좋은답변드리지 못해 죄송합니다."
"옷걸이 7개 주문했는데
1개만 왔어요
확인부탁드려요","안녕하세요 고객님 니뜰리히입니다.
먼저 불편을드려 죄송합니다.
유선상으로 연락이닿지않아 톡톡으로 안내드리겠습니다.
다시한번 죄송합니다."
상품페이지에서 높은형 그레이를 선택할 수 없는데 풀어주세요~~ ㅠㅠ,"저희제품에 관심가져주셔서 감사합니다.
해당상품 품절풀어드렸으며, 금일 출고마감되어 주문주시면 차주월요일 출고될예정입니다."
재입고 언제인가요 ?,"금일 높은형 네이비,그레이,와인,베이지색상 재입고되었으며, 낮은형은 딥그레이 네이비 아이보리색상만 현재 출고가능합니다. 감사합니다."
린넨 아이보리에서 돈추가하고 패프릭 아이보리그레이로 바꾸려합니다. 근데 선물받은거라 제가 집접 입금하고 바꾸려고여 배송은 오늘받았어요 고객센터 번호좀부탁드려요,"안녕하세요 고객님 니뜰리히입니다. 문의주셔서 감사합니다. 하단 번호로 전화주시면 유선상담 도와드릴 수 있도록 하겠습니다. 감사합니다.
 02-338-9464"
"H형은 언제 입고될까요?
23일(월요일) 출국이라서 만일 입고된다면 21일(토요일)까지 받아볼수 있을까요?",안녕하세요 고객님 니뜰리히입니다. 현재 그레이 색상이 빠르면 금일 혹은 다음주 월요일정도 입고예정에 있습니다. 주문해주시면 토요일까지 받아보실 수 있으실 것 같습니다.
"이틀전부터 서울구로TML에 머물러 있습니다.
장기여행을 계획해서 주문했는데..전화도 안받고 답변도 만족스럽지못합니다
도대체 배송은 언제되나요?
전화라도 받거나 늦은배송이 납득이된다면 새롭게 주문했을텐데..
배송도 못받고 다른곳에 주문도 못하고., 
이게 뮙니까??
도대체 상품은 어떻게 된겁니까?
배송은 됩니까?",안녕하세요 고객님 니뜰리히입니다. 먼저 불편을 드려 죄송합니다. 현재 해당 제품 중부권MEGAHUB에 입고된 것으로 확인 됩니다. 정확한 배송현황은 택배사에 문의를 해봐야할 것 같습니다. 보통 중부권에들어가면 당일이나 다음날 도착하긴하는데 지역마다 차이가 있어서 진행 상황 기다려봐야할 것 같습니다. 롯데택배에 문의하여 빠르게 배송할 수 있도록 재촉해보도록 하겠습니다.
Pu 에어목베개 블루는 상세컷에 없나요?,"안녕하세요 고객님
문의주신 상품 현재 상세페이지 준비중으로 톡톡으로 문의주시면 사진 전달드리겠습니다.
감사합니다."
"안녕하세요
발매트 판매 하고 있는 케잔아일랜드 입니다
귀사의 페이지에 저희 대표 사진이 사용된 것을 확인 하였습니다
저희 사진 삭제 부탁 드리며 가격비교 풀어 주세요","안녕하세요 케잔아일랜드 담당자님, 먼저 불편을 드려 죄송합니다. 담당자가 도매처에서 사진을 받았다고 하여 상품을 업로드 하였습니다. 현재 해당제품 판매중지처리 하였습니다."
메모리폼 맞나요?눌렸을때 아주 천천히는 아니라도 약간이라도 천천히 복원되는 제품이 필요해서 물어봅니다,"안녕하세요 고객님 니뜰리히입니다.
해당상품 메모리폼 재질이며, 복원력이있는상품입니다.
감사합니다."
오늘(10/11)  주문했습니다. 10월 16일까지 배송완료 바랍니다.꼭  부탁드려요.,"안녕하세요 고객님
주문해주신 상품 금일 출고 후 송장번호 전달드릴예정입니다.
감사합니다."
작은 어린이들 사용가능한가요?,안녕하세요 니뜰리히입니다. 작은 어린이들의 경우 목베개가 크실 수 있으십니다.
"핑크 40~50개 주문가능한지요? 아님 블랙이라던가
재고가 있는지...","안녕하세요 고객님
문의주신 상품 블랙 색상으로 주문해주시면 금일 출고 가능합니다!
감사합니다."
브라운으로 색깔 변경 부탁드립니다,"안녕하세요 고객님
주문해주신 상품 브라운 35cm 2개로 금일 출고 후 송장번호 전달드리겠습니다.
감사합니다."
"주문한것중 네이비 불량으로 왔어요 
반품신청합니다","안녕하세요 고객님
문의주신 상품 반품요청해신 후 불량 사진 첨부해주시면 확인 후 빠른 처리 도와드리겠습니다.
감사합니다."
접힌부분 푹꺼진거는 시간지나면 복구가 되는건가요?,"안녕하세요 니뜰리히입니다.
해당상품 박스포장으로인해 쿠션솜이 눌려있어, 일주일정도지나면 다시 쿠션이복구됩니다.
불편을드려 죄송합니다."
"그럼
이 제품이 관리가 더 쉬울까요?
상세설명이 없고 리뷰가 다 삭제되었는지 하나도 없어서 고르기가 어려워요🥲","이 제품이 신제품이라 아직 리뷰가 많이 없습니다. 6,900원 제품 페이지에서 같이 판매를 하여 리뷰에서 옵션설정하시면 보실 수 있으십니다. 두 제품 커버 탈부착이 가능하여 관리는 어렵지 않으십니다."
이거랑 6900원짜리 방석이랑 재질은 같지만 미끄럼방지되어있는 점만 다른건가요?,안녕하세요 고객님 니뜰리히입니다. 해당 제품은 다른 제품이라고 보셔도 됩니다. 메모리폼 용량과 밀도 디자인 그리고 커버재질도 다르십니다. 감사합니다.
6살 아이도 사용 가능할까요?,안녕하세요 고객님 니뜰리히입니다. 6살 어린이의 경우 목베개가 살짝 클 수도 있습니다ㅜ
10/10오늘 주문했는데 10/12출국입니다 빠르게보내주세요 ㅠㅠ,안녕하세요 고객님 니뜰리히입니다. 금일 빠르게 출고하도록 하겠습니다. 감사합니다.
구매 후 에어를 충전하였눈데 바로 공기가 빠집니다. 확린 바랍니다.,안녕하세요 고객님 니뜰리히입니다. 톡톡으로 연락주시면 빠르게 금일 재출고 처리 도와드리도록 하겠습니다.
여름용 목베개도 커버 탈착 가능한가요?,안녕하세요 고객님 니뜰리히입니다. 여름용 목베개도 커버 탈착가능하십니다! 감사합니다.
커버만 따로 구매 할 수 있나요!?,안녕하세요 고객님 니뜰리히입니다. 현재 별도 커버는 준비중에 있습니다 ㅜ 도움을 드리지 못해 죄송합니다.
실크 제품으로 그레이 2개 블랙 1개 구매했는데 한사람은 쿠션 없이 5시간동안 비행기 타게 생겼습니다. 그레이 1개 미도착했습니다. 출발 전 수령 못합니다. 처리 부탁드립니다.,"안녕하세요 고객님
우선 누락 상품으로 배송해드리지 못한 점 정말 죄송합니다.
금일 출고 또는 누락 상품 환불처리 톡톡으로 말씀해주시면 빠른처리 도와드리겠습니다.
불편을끼쳐드려 정말 죄송합니다."
상품 여러개 주문했습미다 이번주 출국이라.빠름 배송부탁드립니다.,안녕하세요 고객님 니뜰리히입니다. 주문해주셔서 감사합니다. 빠르게 발송해드리도록 하겠습니다!
"U형 목베게 블랙, 앞 단추가 한쪽엔 없어요… 교환 부탁 드립니다","안녕하세요 고객님
배송받으신 상품 문제있는 부위 사진찍어 톡톡으로 문의주시면 빠른 처리도 도와드리겠습니다.
감사합니다."
"색상변경 발송 부탁드립니다
40cm 딥그린 2개 ➜ 40cm딥브라운 2개로 색상변경 해서 배송 부탁드립니다","안녕하세요 고객님
주문해주신 상품 색상변경 후 출고 도와드리겠습니다!
감사합니다."
아랫면 미끄럼방지는 바둑알 방석에만 제작되서 나오는건가요?,"안녕하세요 니뜰리히입니다.
바둑알방석만 미끄럼방지까지 포함되어있는상품이며 나머지 방석상품들은 추가상품에 방지패드 함께구매해주셔야하는점 양해부탁드리겠습니다."
"10월5일 꼭발송바랍니다
7일출국이라 6일까지받아야해서요
혹시불가능하다면 취소요청합니다 ㅜㅠ","안녕하세요 니뜰리히입니다.
주문해주신 상품 금일출고될예정입니다. 감사합니다."
